,y_pos_3_national_60+,y_hosped_3_national_60+,y_modhosped_3_national_60+,y_sevhosped_3_national_60+,y_pos_3_national_0-59,y_hosped_3_national_0-59,y_modhosped_3_national_0-59,y_sevhosped_3_national_0-59
2020-12-18,370.0,66.0,51.0,42.0,2392.0,49.0,21.0,11.0
2020-12-19,304.0,70.0,50.0,39.0,1567.0,42.0,26.0,18.0
2020-12-20,368.0,73.0,61.0,42.0,2701.0,41.0,16.0,12.0
2020-12-21,469.0,72.0,76.0,53.0,3314.0,44.0,23.0,12.0
2020-12-22,511.0,88.0,61.0,57.0,3807.0,51.0,30.0,17.0
2020-12-23,537.0,77.0,77.0,49.0,3461.0,60.0,43.0,25.0
2020-12-24,512.0,76.0,60.0,48.0,3502.0,42.0,22.0,17.0
2020-12-25,471.0,97.0,66.0,56.0,3514.0,60.0,37.0,25.0
2020-12-26,388.0,92.0,57.0,56.0,2251.0,46.0,27.0,21.0
2020-12-27,441.0,101.0,82.0,57.0,3029.0,61.0,39.0,24.0
2020-12-28,644.0,100.0,77.0,65.0,4796.0,47.0,28.0,21.0
2020-12-29,613.0,114.0,96.0,66.0,4933.0,65.0,24.0,18.0
2020-12-30,630.0,95.0,82.0,74.0,5171.0,57.0,31.0,24.0
2020-12-31,624.0,104.0,85.0,75.0,5149.0,63.0,37.0,31.0
2021-01-01,676.0,107.0,80.0,68.0,5258.0,73.0,34.0,23.0
2021-01-02,497.0,88.0,83.0,65.0,3684.0,52.0,20.0,9.0
2021-01-03,607.0,152.0,111.0,92.0,4571.0,74.0,31.0,14.0
2021-01-04,838.0,142.0,125.0,96.0,7429.0,81.0,42.0,21.0
2021-01-05,798.0,146.0,115.0,100.0,7338.0,95.0,43.0,37.0
2021-01-06,865.0,145.0,124.0,101.0,6903.0,84.0,42.0,32.0
2021-01-07,811.0,128.0,123.0,98.0,6728.0,107.0,60.0,31.0
2021-01-08,969.0,127.0,93.0,76.0,7109.0,81.0,45.0,40.0
2021-01-09,603.0,126.0,115.0,88.0,4521.0,75.0,36.0,26.0
2021-01-10,733.0,171.0,135.0,111.0,6136.0,90.0,44.0,33.0
2021-01-11,962.0,156.0,137.0,119.0,8636.0,88.0,51.0,29.0
2021-01-12,975.0,145.0,125.0,89.0,8223.0,85.0,45.0,36.0
2021-01-13,1017.0,141.0,141.0,120.0,8371.0,97.0,56.0,38.0
2021-01-14,967.0,135.0,121.0,102.0,8247.0,92.0,58.0,42.0
2021-01-15,886.0,167.0,133.0,114.0,7429.0,90.0,35.0,29.0
2021-01-16,590.0,115.0,92.0,78.0,4449.0,86.0,33.0,25.0
2021-01-17,604.0,172.0,157.0,122.0,4989.0,90.0,49.0,37.0
2021-01-18,956.0,140.0,123.0,101.0,9034.0,101.0,52.0,34.0
2021-01-19,861.0,142.0,131.0,105.0,7670.0,86.0,45.0,33.0
2021-01-20,829.0,128.0,120.0,94.0,7457.0,90.0,58.0,35.0
2021-01-21,733.0,106.0,92.0,76.0,6444.0,101.0,52.0,38.0
2021-01-22,630.0,136.0,98.0,85.0,6697.0,92.0,51.0,32.0
2021-01-23,281.0,108.0,110.0,96.0,2142.0,76.0,35.0,32.0
2021-01-24,470.0,136.0,98.0,85.0,4404.0,105.0,68.0,41.0
2021-01-25,772.0,121.0,135.0,116.0,7891.0,84.0,48.0,34.0
2021-01-26,676.0,117.0,102.0,98.0,7031.0,90.0,64.0,54.0
2021-01-27,603.0,112.0,92.0,76.0,6993.0,85.0,50.0,41.0
2021-01-28,621.0,113.0,107.0,84.0,6496.0,94.0,54.0,48.0
2021-01-29,501.0,82.0,72.0,66.0,6210.0,88.0,48.0,30.0
2021-01-30,224.0,65.0,60.0,52.0,2375.0,71.0,37.0,27.0
2021-01-31,360.0,114.0,79.0,63.0,4828.0,109.0,58.0,42.0
2021-02-01,641.0,122.0,106.0,94.0,8182.0,101.0,52.0,32.0
2021-02-02,588.0,95.0,99.0,81.0,7328.0,123.0,79.0,53.0
2021-02-03,450.0,106.0,114.0,92.0,6888.0,103.0,70.0,55.0
2021-02-04,450.0,72.0,79.0,70.0,6703.0,109.0,66.0,45.0
2021-02-05,429.0,87.0,71.0,70.0,6066.0,93.0,65.0,52.0
2021-02-06,213.0,65.0,58.0,55.0,2403.0,79.0,42.0,32.0
2021-02-07,286.0,91.0,77.0,63.0,4238.0,88.0,50.0,35.0
