,y_pos_3_national_60+,y_hosped_3_national_60+,y_modhosped_3_national_60+,y_sevhosped_3_national_60+,y_pos_3_national_0-59,y_hosped_3_national_0-59,y_modhosped_3_national_0-59,y_sevhosped_3_national_0-59
2020-12-18,371.0,66.0,51.0,42.0,2392.0,49.0,21.0,11.0
2020-12-19,304.0,71.0,50.0,39.0,1569.0,43.0,26.0,18.0
2020-12-20,368.0,72.0,61.0,42.0,2701.0,41.0,16.0,12.0
2020-12-21,472.0,72.0,76.0,53.0,3312.0,44.0,23.0,12.0
2020-12-22,511.0,88.0,61.0,57.0,3805.0,51.0,30.0,17.0
2020-12-23,537.0,77.0,77.0,49.0,3463.0,60.0,43.0,25.0
2020-12-24,510.0,76.0,60.0,48.0,3505.0,42.0,22.0,17.0
2020-12-25,474.0,96.0,65.0,55.0,3511.0,60.0,37.0,25.0
2020-12-26,387.0,94.0,57.0,56.0,2253.0,46.0,27.0,21.0
2020-12-27,447.0,101.0,82.0,57.0,3032.0,60.0,39.0,24.0
2020-12-28,645.0,100.0,78.0,65.0,4792.0,47.0,28.0,21.0
2020-12-29,614.0,115.0,96.0,66.0,4932.0,65.0,24.0,18.0
2020-12-30,635.0,96.0,82.0,74.0,5167.0,56.0,31.0,24.0
2020-12-31,625.0,105.0,85.0,75.0,5149.0,63.0,37.0,31.0
2021-01-01,677.0,107.0,80.0,70.0,5260.0,72.0,33.0,22.0
2021-01-02,499.0,89.0,83.0,64.0,3683.0,51.0,20.0,9.0
2021-01-03,614.0,151.0,110.0,91.0,4566.0,76.0,32.0,15.0
2021-01-04,838.0,142.0,125.0,95.0,7428.0,81.0,41.0,21.0
2021-01-05,807.0,145.0,114.0,99.0,7338.0,95.0,43.0,37.0
2021-01-06,873.0,145.0,124.0,101.0,6906.0,83.0,42.0,32.0
2021-01-07,812.0,128.0,124.0,99.0,6734.0,109.0,59.0,31.0
2021-01-08,970.0,127.0,94.0,76.0,7107.0,82.0,45.0,40.0
2021-01-09,608.0,126.0,115.0,88.0,4519.0,75.0,36.0,26.0
2021-01-10,737.0,172.0,134.0,111.0,6137.0,91.0,44.0,33.0
2021-01-11,969.0,153.0,135.0,116.0,8643.0,88.0,51.0,29.0
2021-01-12,983.0,144.0,123.0,89.0,8237.0,85.0,45.0,36.0
2021-01-13,1025.0,144.0,142.0,121.0,8359.0,96.0,55.0,38.0
2021-01-14,971.0,134.0,121.0,102.0,8248.0,92.0,58.0,42.0
2021-01-15,887.0,166.0,133.0,113.0,7427.0,90.0,35.0,29.0
2021-01-16,592.0,116.0,92.0,78.0,4448.0,86.0,33.0,25.0
2021-01-17,604.0,170.0,156.0,120.0,4991.0,91.0,49.0,37.0
2021-01-18,957.0,139.0,122.0,102.0,9035.0,101.0,51.0,34.0
2021-01-19,862.0,142.0,129.0,104.0,7670.0,86.0,45.0,32.0
2021-01-20,829.0,127.0,118.0,93.0,7458.0,90.0,58.0,35.0
2021-01-21,733.0,105.0,93.0,77.0,6448.0,101.0,52.0,38.0
2021-01-22,633.0,132.0,97.0,83.0,6697.0,91.0,49.0,32.0
2021-01-23,281.0,110.0,108.0,95.0,2144.0,75.0,36.0,31.0
2021-01-24,469.0,136.0,96.0,83.0,4402.0,105.0,68.0,41.0
2021-01-25,774.0,124.0,134.0,114.0,7894.0,85.0,48.0,34.0
2021-01-26,681.0,119.0,100.0,96.0,7025.0,90.0,64.0,54.0
2021-01-27,605.0,110.0,91.0,74.0,6995.0,82.0,49.0,40.0
2021-01-28,623.0,109.0,105.0,83.0,6495.0,96.0,52.0,46.0
2021-01-29,501.0,81.0,68.0,63.0,6213.0,88.0,48.0,30.0
2021-01-30,225.0,64.0,59.0,53.0,2377.0,73.0,37.0,27.0
2021-01-31,358.0,116.0,82.0,66.0,4830.0,111.0,57.0,42.0
2021-02-01,643.0,123.0,107.0,96.0,8189.0,99.0,52.0,32.0
2021-02-02,590.0,97.0,95.0,79.0,7336.0,125.0,78.0,52.0
2021-02-03,454.0,106.0,113.0,92.0,6890.0,106.0,69.0,53.0
2021-02-04,458.0,78.0,81.0,71.0,6713.0,110.0,66.0,45.0
2021-02-05,434.0,84.0,69.0,69.0,6096.0,96.0,66.0,53.0
2021-02-06,217.0,69.0,56.0,52.0,2422.0,86.0,44.0,33.0
2021-02-07,297.0,108.0,83.0,65.0,4268.0,105.0,58.0,41.0
2021-02-08,496.0,105.0,99.0,86.0,7281.0,116.0,67.0,39.0
2021-02-09,417.0,63.0,59.0,49.0,5699.0,87.0,61.0,41.0
2021-02-10,347.0,83.0,65.0,63.0,5282.0,119.0,70.0,50.0
2021-02-11,302.0,77.0,55.0,45.0,4655.0,96.0,58.0,42.0
2021-02-12,282.0,72.0,64.0,44.0,4309.0,81.0,54.0,30.0
2021-02-13,114.0,52.0,47.0,43.0,1754.0,81.0,50.0,40.0
2021-02-14,209.0,73.0,67.0,64.0,3243.0,91.0,62.0,41.0
2021-02-15,321.0,64.0,61.0,53.0,4822.0,101.0,67.0,49.0
2021-02-16,250.0,77.0,49.0,43.0,4268.0,100.0,48.0,31.0
2021-02-17,239.0,54.0,52.0,45.0,3783.0,96.0,62.0,43.0
2021-02-18,178.0,48.0,39.0,35.0,3052.0,68.0,43.0,29.0
2021-02-19,215.0,41.0,39.0,30.0,3460.0,69.0,35.0,23.0
2021-02-20,85.0,29.0,24.0,21.0,1141.0,78.0,50.0,36.0
2021-02-21,177.0,60.0,47.0,35.0,2796.0,78.0,35.0,33.0
2021-02-22,291.0,53.0,62.0,49.0,4290.0,77.0,64.0,41.0
