VaccinationDate,age_group,first_dose,second_dose
2020-12-20,80-89,93,0
2020-12-20,0-19,<15,0
2020-12-20,20-29,341,0
2020-12-20,60-69,1554,0
2020-12-20,50-59,1809,0
2020-12-20,90+,<15,0
2020-12-20,40-49,1803,0
2020-12-20,70-79,517,0
2020-12-20,30-39,1165,0
2020-12-21,0-19,45,0
2020-12-21,20-29,889,0
2020-12-21,80-89,1237,0
2020-12-21,90+,178,0
2020-12-21,30-39,2515,0
2020-12-21,40-49,3486,0
2020-12-21,50-59,3404,0
2020-12-21,70-79,5105,0
2020-12-21,60-69,6874,0
2020-12-22,80-89,3648,0
2020-12-22,90+,510,0
2020-12-22,0-19,76,0
2020-12-22,20-29,1417,0
2020-12-22,30-39,3496,0
2020-12-22,50-59,4561,0
2020-12-22,40-49,4444,0
2020-12-22,60-69,13807,0
2020-12-22,70-79,12287,0
2020-12-23,0-19,127,0
2020-12-23,20-29,1871,0
2020-12-23,80-89,5850,0
2020-12-23,50-59,5214,0
2020-12-23,40-49,4782,0
2020-12-23,30-39,3612,0
2020-12-23,90+,1131,0
2020-12-23,70-79,18687,0
2020-12-23,60-69,20407,0
2020-12-24,60-69,24260,0
2020-12-24,40-49,4950,0
2020-12-24,90+,1481,0
2020-12-24,30-39,3499,0
2020-12-24,70-79,22519,0
2020-12-24,0-19,158,0
2020-12-24,20-29,1880,0
2020-12-24,80-89,7966,0
2020-12-24,50-59,5475,0
2020-12-25,70-79,12660,0
2020-12-25,30-39,1245,0
2020-12-25,80-89,4680,0
2020-12-25,90+,847,0
2020-12-25,50-59,2801,0
2020-12-25,60-69,12594,0
2020-12-25,40-49,2093,0
2020-12-25,20-29,705,0
2020-12-25,0-19,107,0
2020-12-26,70-79,11011,0
2020-12-26,40-49,1518,0
2020-12-26,90+,764,0
2020-12-26,50-59,2284,0
2020-12-26,60-69,11244,0
2020-12-26,0-19,73,0
2020-12-26,20-29,449,0
2020-12-26,30-39,825,0
2020-12-26,80-89,3860,0
2020-12-27,70-79,29665,0
2020-12-27,30-39,5509,0
2020-12-27,90+,2599,0
2020-12-27,60-69,31693,0
2020-12-27,40-49,7944,0
2020-12-27,0-19,395,0
2020-12-27,50-59,9701,0
2020-12-27,80-89,12274,0
2020-12-27,20-29,3448,0
2020-12-28,50-59,14292,0
2020-12-28,40-49,12649,0
2020-12-28,80-89,14086,0
2020-12-28,60-69,38544,0
2020-12-28,70-79,34122,0
2020-12-28,30-39,8738,0
2020-12-28,20-29,6525,0
2020-12-28,0-19,829,0
2020-12-28,90+,2845,0
2020-12-29,60-69,42806,0
2020-12-29,50-59,17955,0
2020-12-29,40-49,15351,0
2020-12-29,80-89,16889,0
2020-12-29,20-29,7390,0
2020-12-29,0-19,1037,0
2020-12-29,30-39,10493,0
2020-12-29,70-79,37174,0
2020-12-29,90+,4717,0
2020-12-30,0-19,1096,0
2020-12-30,50-59,20218,0
2020-12-30,30-39,10605,0
2020-12-30,90+,4212,0
2020-12-30,40-49,15105,0
2020-12-30,60-69,41113,0
2020-12-30,80-89,15858,0
2020-12-30,20-29,7976,0
2020-12-30,70-79,34164,0
2020-12-31,50-59,25939,0
2020-12-31,20-29,9345,0
2020-12-31,0-19,1367,0
2020-12-31,90+,4055,0
2020-12-31,80-89,14917,0
2020-12-31,30-39,12946,0
2020-12-31,60-69,38585,0
2020-12-31,70-79,30722,0
2020-12-31,40-49,18464,0
2021-01-01,0-19,702,0
2021-01-01,20-29,3178,0
2021-01-01,80-89,6277,0
2021-01-01,50-59,13792,0
2021-01-01,60-69,17629,0
2021-01-01,30-39,5396,0
2021-01-01,90+,1595,0
2021-01-01,40-49,8997,0
2021-01-01,70-79,12943,0
2021-01-02,0-19,750,0
2021-01-02,80-89,5557,0
2021-01-02,20-29,3196,0
2021-01-02,60-69,14682,0
2021-01-02,70-79,10682,0
2021-01-02,90+,1755,0
2021-01-02,40-49,11061,0
2021-01-02,30-39,5238,0
2021-01-02,50-59,17994,0
2021-01-03,80-89,13236,0
2021-01-03,0-19,1627,0
2021-01-03,90+,3217,0
2021-01-03,20-29,9519,0
2021-01-03,50-59,27555,0
2021-01-03,30-39,11573,0
2021-01-03,60-69,35276,0
2021-01-03,70-79,26517,0
2021-01-03,40-49,18111,0
2021-01-04,0-19,1577,0
2021-01-04,20-29,10636,0
2021-01-04,80-89,11281,0
2021-01-04,90+,2639,0
2021-01-04,30-39,12217,0
2021-01-04,40-49,20522,0
2021-01-04,70-79,22121,0
2021-01-04,60-69,29963,0
2021-01-04,50-59,28678,0
2021-01-05,40-49,16494,0
2021-01-05,90+,2474,0
2021-01-05,30-39,10237,0
2021-01-05,70-79,21271,0
2021-01-05,80-89,10665,0
2021-01-05,20-29,8570,0
2021-01-05,0-19,1335,0
2021-01-05,60-69,28955,0
2021-01-05,50-59,22949,0
2021-01-06,80-89,9009,0
2021-01-06,30-39,8257,0
2021-01-06,90+,2267,0
2021-01-06,70-79,17028,0
2021-01-06,40-49,12842,0
2021-01-06,60-69,24304,0
2021-01-06,50-59,17930,0
2021-01-06,0-19,1142,0
2021-01-06,20-29,7964,0
2021-01-07,30-39,10966,0
2021-01-07,70-79,15896,0
2021-01-07,60-69,23808,0
2021-01-07,40-49,18104,0
2021-01-07,90+,1880,0
2021-01-07,20-29,8696,0
2021-01-07,0-19,1446,0
2021-01-07,80-89,8158,0
2021-01-07,50-59,24771,0
2021-01-08,40-49,15608,0
2021-01-08,50-59,14613,0
2021-01-08,30-39,8451,0
2021-01-08,70-79,6003,0
2021-01-08,90+,654,0
2021-01-08,60-69,9872,0
2021-01-08,20-29,5513,0
2021-01-08,0-19,1749,0
2021-01-08,80-89,2866,0
2021-01-09,50-59,9928,0
2021-01-09,90+,360,0
2021-01-09,40-49,12491,0
2021-01-09,60-69,5515,0
2021-01-09,80-89,1580,0
2021-01-09,70-79,3355,0
2021-01-09,30-39,6473,0
2021-01-09,0-19,926,0
2021-01-09,20-29,3299,0
2021-01-10,30-39,5477,952
2021-01-10,60-69,5648,1233
2021-01-10,70-79,3555,356
2021-01-10,40-49,8877,1528
2021-01-10,80-89,1789,46
2021-01-10,0-19,602,<15
2021-01-10,50-59,7451,1558
2021-01-10,20-29,3107,263
2021-01-10,90+,383,<15
